area_type,"area_type(1,2)",location,location (Cityno.),size(1BHK-5BHK),society,society(361000-461000),total_sqft,bathroom,balcony,price
Built-up  Area,1,Sarjapur  Road,8075,5,Shthi S,377975,8818,2,0,44
Super built-up  Area,1,Benson Town,8076,1,Saentva,438727,8154,6,2,550
Super built-up  Area,1,Rajaji Nagar,8077,4,Tiitela,447578,5580,3,3,130
Built-up  Area,1,Banjara Layout,8078,5,,393337,797,2,1,64.8
Super built-up  Area,2,Kanakapura Main Road,8079,3,,429773,2959,2,1,37.8
Super built-up  Area,2,Harlur,8080,1,Prncyrn,363702,9509,2,1,90
Super built-up  Area,2,Raja Rajeshwari Nagar,8081,5,GrrvaGr,376739,1585,2,2,40.54
Built-up  Area,1,Nagarbhavi,8082,2,,402182,8158,3,2,180
Plot  Area,1,Sarjapur  Road,8083,3,,447789,7885,4,1,95
Super built-up  Area,1,Bommanahalli,8084,4,,451425,3150,3,2,41
Super built-up  Area,2,Akshaya Nagar,8085,5,DLhtsnd,367609,2421,2,3,87
Super built-up  Area,2,Banashankari,8086,3,Vimesar,371140,5333,2,3,49
Built-up  Area,2,7th Phase JP Nagar,8087,4,,378919,3736,2,2,65
Super built-up  Area,2,Electronics City Phase 1,8088,4,Shitt S,426965,2327,1,0,45.4
Super built-up  Area,2,Electronics City Phase 1,8089,3,SNdri N,436765,3288,2,1,75
Built-up  Area,1,Palanahalli,8090,2,RMaanSa,452062,4024,4,3,428
Super built-up  Area,2,Channasandra,8091,1,Unm 2El,441334,8523,2,1,34
Super built-up  Area,1,Electronic City,8092,4,,410848,5098,1,1,26.63
Super built-up  Area,1,Hebbal,8093,1,Prersis,429217,8179,2,1,97
Plot  Area,2,Suryanagar,8094,1,,419369,5249,2,1,45
Super built-up  Area,1,Vijayanagar,8095,1,Saityat,412832,5414,2,1,86
Super built-up  Area,2,NGR Layout,8096,3,BSian M,397613,9643,2,1,48.45
Super built-up  Area,1,Nanjappa Layout,8097,1,,438217,3490,3,3,85
Super built-up  Area,1,Konanakunte,8098,1,Prasa W,440885,9685,4,1,511
Super built-up  Area,1,Banagiri Nagar,8099,1,,397757,9382,3,2,170
Super built-up  Area,1,Kothannur,8100,5,,422592,1128,2,2,39.85
Super built-up  Area,1,CV Raman Nagar,8101,4,JKmesHo,439183,6013,2,1,55
Super built-up  Area,1,2nd Stage Arekere Mico Layout,8102,3,BrriaLu,442337,2621,3,2,142
Super built-up  Area,1,Gunjur,8103,5,DSerste,421914,6820,3,2,62.63
Super built-up  Area,2,Yelahanka,8104,1,Neite T,394727,3388,1,0,30.84
Super built-up  Area,2,Vittasandra,8105,4,Prlla C,404637,9552,2,2,70
Super built-up  Area,1,Electronic City Phase II,8106,4,,402223,2389,2,3,47
Plot  Area,2,Wilson Garden,8107,5,,416286,6767,12,,300
Plot  Area,2,Mahalakshmi Layout,8108,5,,435766,2482,1,0,35
Super built-up  Area,1,Vittasandra,8109,4,,387151,1467,2,1,67.48
Super built-up  Area,2,Kengeri,8110,2,,430252,7797,2,2,34
Super built-up  Area,1,Rachenahalli,8111,3,AsNowre,407951,4288,2,1,49.97
Built-up  Area,2,Indira Nagar,8112,5,GoilsDa,423545,4602,1,2,60
Built-up  Area,2,Uttarahalli,8113,5,,381254,3057,2,1,50
Plot  Area,1,Rajaji Nagar,8114,4,,386288,7260,3,1,320
Super built-up  Area,1,Sarjapur  Road,8115,3,,363343,4745,4,1,180
Super built-up  Area,1,Ambedkar Nagar,8116,4,SoechHa,378550,1482,2,2,86
Super built-up  Area,1,Rajaji Nagar,8117,4,Raesta ,440290,2256,2,2,81
Super built-up  Area,1,Duvasapalya,8118,2,,460205,4997,2,1,48.6
Super built-up  Area,1,Sarjapur,8119,1,,361292,9596,2,2,42
Super built-up  Area,2,R.T. Nagar,8120,2,,392735,4856,4,,400
Super built-up  Area,2,Whitefield,8121,1,SSthamh,383934,4376,2,2,40
Super built-up  Area,1,Hoskote,8122,4,VRowsa ,413025,4374,2,2,33.6
Super built-up  Area,1,Attibele,8123,5,DSvar S,414863,5817,1,0,19.55
Super built-up  Area,1,Gubbalala,8124,1,MauilTr,430301,4778,2,2,80
Super built-up  Area,1,Choodasandra,8125,1,Maidsr ,437234,4548,2,2,36
Built-up  Area,2,BCMC Layout,8126,5,Sutesga,405304,3745,2,2,88
Plot  Area,1,9th Phase JP Nagar,8127,1,,415715,6152,5,,160
Super built-up  Area,2,Hosakerehalli,8128,5,Taonte ,395478,9327,4,2,300
Plot  Area,2,Vishwapriya Layout,8129,4,,437484,7339,3,1,95
Super built-up  Area,1,Nehru Nagar,8130,5,Veyalin,368716,9083,3,,90
Plot  Area,1,Jnanabharathi Layout,8131,2,,433142,5551,4,2,125
Super built-up  Area,2,Haralur Road,8132,2,RInceeg,402506,6662,2,2,46
Super built-up  Area,2,Kanakpura Road,8133,1,Soazak ,375460,1248,3,2,130
Super built-up  Area,2,Padmanabhanagar,8134,2,,452552,3135,3,1,71.55
Super built-up  Area,1,Horamavu Agara,8135,3,Suise S,445629,4121,2,1,41.21
Super built-up  Area,2,Whitefield,8136,5,Prtates,414844,7122,2,1,75
Super built-up  Area,1,7th Phase JP Nagar,8137,4,Panorse,420254,3046,3,1,60
Super built-up  Area,1,Sarjapur  Road,8138,2,Puallhi,404705,4010,5,1,201
Plot  Area,1,Kothanur,8139,3,,423435,7846,4,2,175
Super built-up  Area,2,Raja Rajeshwari Nagar,8140,2,GrrvaGr,361606,7511,2,2,40.54
Carpet  Area,1,Kanakpura Road,8141,1,PuandHi,460812,7339,3,3,90
Super built-up  Area,1,Banashankari Stage V,8142,1,Naiewre,381525,9591,3,3,47.57
Super built-up  Area,1,Hosakerehalli,8143,3,Taonte ,445175,7290,4,1,326
Plot  Area,1,Pai Layout,8144,2,,389054,1176,2,1,72
Super built-up  Area,2,Haralur Road,8145,3,,394888,4167,2,2,47
Built-up  Area,1,Banashankari Stage II,8146,2,,432461,6224,2,2,110
Plot  Area,2,Sarjapur  Road,8147,4,Owlotou,418994,5975,4,1,169
Plot  Area,1,Horamavu Agara,8148,2,,391764,5550,4,1,100
Plot  Area,1,Udaya Nagar,8149,1,,372363,9751,4,2,160
Built-up  Area,1,Laggere,8150,1,,443141,8571,2,0,48
Super built-up  Area,1,Raja Rajeshwari Nagar,8151,2,i1rtsCo,367876,8141,3,2,60.65
Built-up  Area,1,Hennur Road,8152,3,,412078,7235,2,0,45
Super built-up  Area,1,Hosakerehalli,8153,3,Maunt M,418094,2386,2,2,53.58
Carpet  Area,1,Bhoganhalli,8154,3,Rosha I,414320,6007,2,1,100
Plot  Area,2,9th Block Jayanagar,8155,5,,371281,5189,8,3,270
Super built-up  Area,2,Sarjapur  Road,8156,5,Klark L,389257,8447,3,2,113
Built-up  Area,1,KR Puram,8157,1,,382767,3499,4,0,83
Super built-up  Area,1,Banaswadi,8158,3,,415886,1774,2,3,60
Super built-up  Area,2,Old Airport Road,8159,1,,388895,8348,2,2,50
Super built-up  Area,2,Kathriguppe,8160,3,Prone M,386401,2510,3,2,77.99
Super built-up  Area,1,Whitefield,8161,2,Preaunt,393674,7174,2,1,94.84
Super built-up  Area,2,Whitefield,8162,5,Goted U,387271,3633,2,1,103
Super built-up  Area,1,Kengeri Satellite Town Stage II,8163,2,,440516,9140,1,1,20
Super built-up  Area,2,Vasantha Vallabha Nagar,8164,2,MaitySe,402742,4799,2,1,100
Super built-up  Area,1,Raja Rajeshwari Nagar,8165,4,GrrvaGr,373569,1550,3,3,51.77
Super built-up  Area,1,Church Street,8166,4,,366631,8157,4,1,1600
Built-up  Area,1,Anekal,8167,4,,437669,628,1,1,23.5
Super built-up  Area,1,8th Phase JP Nagar,8168,4,Yaenti ,438732,1697,2,2,65
Super built-up  Area,1,Thanisandra,8169,4,Bhmesy ,376982,2607,3,2,110
Plot  Area,2,Nagarbhavi,8170,3,,407289,2353,3,1,340
Super built-up  Area,2,Srinivas Colony,8171,3,,432456,8937,3,2,943
Built-up  Area,1,Sarjapur  Road,8172,3,Viissmi,444287,2390,3,2,55
Built-up  Area,1,Thubarahalli,8173,4,ShdhiSa,381282,5337,3,3,175
Built-up  Area,2,Sahakara Nagar,8174,1,,412808,7175,2,1,55
Super built-up  Area,1,Hennur Road,8175,5,SaireSa,450665,5361,3,3,128
Super built-up  Area,2,Sarjapur  Road,8176,3,SoniaEt,448130,2838,4,2,160
Super built-up  Area,1,Hebbal,8177,2,Arcia S,378981,9677,3,3,59
Built-up  Area,1,Uday Nagar,8178,2,Koncyad,419806,1231,3,1,110
Plot  Area,1,Ambedkar Nagar,8179,4,Thessrm,455868,4044,4,3,255
Super built-up  Area,1,Varthur Road,8180,2,,388380,2027,2,2,30.47
Super built-up  Area,2,HSR Layout,8181,2,Siestr ,367859,4058,2,2,65
Super built-up  Area,2,Mathikere,8182,3,,440225,8155,2,2,75
Super built-up  Area,2,Electronic City Phase II,8183,5,Rie 2ri,440621,3963,3,3,50
Super built-up  Area,1,Shree Ananth Nagar Layout,8184,4,PrinePr,382780,8797,2,1,45
Super built-up  Area,1,Hosa Road,8185,4,,396432,1568,2,1,32.8
Built-up  Area,2,Kammanahalli,8186,2,,383353,4480,2,1,60
Plot  Area,2,Kamakshipalya,8187,2,,453505,1252,2,2,85
Plot  Area,1,Sarjapur  Road,8188,2,Adeatlm,451801,724,3,2,700
Built-up  Area,2,6th Phase JP Nagar,8189,2,,460996,6769,2,2,60
Super built-up  Area,2,Suddaguntepalya,8190,2,MSanaer,394230,3264,3,2,55
Plot  Area,1,Hongasandra,8191,2,,423644,5187,8,2,150
Super built-up  Area,1,Hosur Road,8192,2,Saageat,438260,7252,2,2,108
Super built-up  Area,2,Marathahalli,8193,4,,367783,1484,2,1,130
Plot  Area,2,Chaitanya Ananya,8194,3,SRgio V,392136,5033,4,2,325
Built-up  Area,2,Shankarapuram,8195,2,,375493,9815,1,0,130
Built-up  Area,2,Bellandur,8196,3,Vaodssh,435757,548,4,,245
Super built-up  Area,2,Uttarahalli,8197,1,,369479,3438,2,1,35.88
Plot  Area,2,Nagashetty Halli,8198,2,,429913,2275,1,1,99
Super built-up  Area,2,Lakshminarayana Pura,8199,4,Srasy F,423865,7447,2,,90
Super built-up  Area,1,Kadubeesanahalli,8200,2,,423605,9291,2,2,75
Built-up  Area,2,EPIP Zone,8201,5,,442307,9816,3,1,268
Plot  Area,2,ISRO Layout,8202,4,,452036,6189,6,,230
Super built-up  Area,2,Byrasandra Extension,8203,1,,364598,6305,2,2,45
Super built-up  Area,1,Babusapalaya,8204,4,,399159,9774,2,1,55.99
Super built-up  Area,1,Raja Rajeshwari Nagar,8205,1,Prllsan,379844,1997,2,1,70
Plot  Area,2,Yelahanka New Town,8206,4,,456706,6503,3,0,350
Plot  Area,1,Gattahalli,8207,3,Miiewa ,433257,3751,2,2,95
Super built-up  Area,2,Uttarahalli,8208,2,Aklia R,397257,6366,2,1,47.65
Built-up  Area,1,Old Madras Road,8209,1,Saive L,439790,709,4,2,175
Built-up  Area,1,Raja Rajeshwari Nagar,8210,3,GrrvaGr,413806,8282,2,1,38.37
Super built-up  Area,1,Arekere,8211,1,Nihtsss,428880,2103,2,2,60
Super built-up  Area,1,Devanahalli,8212,3,Sabixtt,365607,7991,3,3,77.59
Super built-up  Area,2,Outer Ring Road East,8213,3,PrstaTe,414745,3484,4,2,411
Super built-up  Area,2,Ramagondanahalli,8214,5,DNeremo,415625,8859,2,2,115
Super built-up  Area,1,Sarjapur  Road,8215,3,,380350,4558,3,2,56
Built-up  Area,1,Kaggadasapura,8216,4,VSomepi,422224,6445,2,2,48
Super built-up  Area,1,Akshaya Nagar,8217,5,Javasi ,409367,9082,2,1,54
Super built-up  Area,2,Thanisandra,8218,2,G conTh,367629,4679,4,1,123
Super built-up  Area,2,Mallathahalli,8219,1,,448388,4837,2,2,55
Super built-up  Area,1,Rajaji Nagar,8220,3,Brway G,403141,8464,3,2,240
Super built-up  Area,2,Richmond Town,8221,2,,376267,6818,3,3,175
Super built-up  Area,1,Sarjapur  Road,8222,2,PuineSu,371398,8067,3,2,90
Super built-up  Area,2,Whitefield,8223,1,VDarmlo,367992,2211,3,,400
Super built-up  Area,1,Rayasandra,8224,2,MJeusyl,393608,836,3,3,70
Super built-up  Area,1,Kadubeesanahalli,8225,1,Krshi G,363132,3866,2,2,93
Super built-up  Area,1,Iblur Village,8226,3,Emine P,406190,8981,5,1,260
Super built-up  Area,1,Kasavanhalli,8227,4,Salisal,450781,8022,2,2,95
Plot  Area,1,Yeshwanthpur,8228,3,,451758,8594,2,0,100
Super built-up  Area,2,Whitefield,8229,5,Gamesti,382281,1310,2,1,55
Super built-up  Area,1,Whitefield,8230,1,Brony H,409515,9371,3,2,90
Super built-up  Area,2,manyata park,8231,1,,377376,9812,2,1,61.99
Super built-up  Area,1,Telecom Layout,8232,3,,404935,7630,2,1,65
Super built-up  Area,1,Banashankari,8233,2,Goeesem,383565,1134,2,2,67
Super built-up  Area,1,7th Phase JP Nagar,8234,5,Eladero,377528,1339,3,3,120
Plot  Area,2,Whitefield,8235,4,StodsWa,389966,1317,4,2,208
Super built-up  Area,2,Rachenahalli,8236,5,,389738,4659,2,2,52.5
Super built-up  Area,1,Budigere,8237,2,PrityTr,418056,6091,1,0,27.375
Plot  Area,1,Sarjapur  Road,8238,5,Adeatlm,436363,7575,4,2,750
Super built-up  Area,1,Devanahalli,8239,5,,386970,5280,1,0,39
Built-up  Area,2,Hoodi,8240,2,Macanr ,370360,8211,2,2,48
Super built-up  Area,1,Thanisandra,8241,4,Bhe 2ko,385921,9442,2,1,77.25
Super built-up  Area,2,Binny Pete,8242,4,Shestlo,448616,1382,3,2,178
Super built-up  Area,2,Alur,8243,4,,393708,3934,1,1,15
Built-up  Area,1,Nelamangala,8244,4,,450551,3801,2,2,30
Super built-up  Area,2,Richmond Town,8245,2,,426214,2263,4,,792
Built-up  Area,1,Hebbal,8246,3,Srntsha,386686,5623,2,2,52
Super built-up  Area,1,Ramagondanahalli,8247,4,ViistLa,417270,8912,2,2,43.6
Super built-up  Area,2,Hulimavu,8248,5,Naepa D,380382,9351,2,2,59
Carpet  Area,1,Bikasipura,8249,1,,414721,1673,3,2,68
Super built-up  Area,2,Poorna Pragna Layout,8250,3,,437487,8506,2,3,50.79
Super built-up  Area,1,Hegde Nagar,8251,5,SoitaCa,406449,8327,3,2,123
Super built-up  Area,2,Devanahalli,8252,4,Pardsri,379899,7326,2,1,49.87
Super built-up  Area,2,Somasundara Palya,8253,5,ManceEl,404453,5852,3,,95
Super built-up  Area,2,Richmond Town,8254,5,,376640,1194,4,3,242
Built-up  Area,2,Electronic City,8255,1,,379991,4997,2,,78
Super built-up  Area,2,Begur Road,8256,1,Dhalsh ,385441,9624,2,2,44
Super built-up  Area,2,Haralur Road,8257,3,SNnia E,387976,4188,4,3,154
Super built-up  Area,2,Mysore Road,8258,1,Gopia O,384557,7401,3,0,47.6
Super built-up  Area,1,Brookefield,8259,1,Saandvi,426890,3723,2,1,49
Super built-up  Area,1,Yelahanka,8260,5,Reverve,415279,9512,2,2,60
Super built-up  Area,1,Kudlu Gate,8261,3,,423743,5073,2,1,45
Super built-up  Area,1,Sarjapur  Road,8262,3,,381258,5819,2,1,51
Super built-up  Area,1,Kannamangala,8263,2,Sonue A,372114,9124,3,1,104
Super built-up  Area,1,Hennur,8264,5,,404122,2931,2,2,55.5
Super built-up  Area,1,Electronic City,8265,3,Prarkun,368117,2667,3,2,83
Plot  Area,1,Virupakshapura,8266,3,,435109,4023,1,0,70
Super built-up  Area,1,Keshava Nagar,8267,1,ETens G,443649,2340,2,2,125
Super built-up  Area,2,Budigere,8268,5,PrityTr,401247,8747,1,1,35.4
Super built-up  Area,1, Devarachikkanahalli,8269,5,Wiaysld,455963,3602,2,1,58
Super built-up  Area,2,Hegde Nagar,8270,1,Inaadd ,399362,1260,2,2,72
Super built-up  Area,1,Attibele,8271,3,DSvar S,386302,8109,2,1,29.38
Plot  Area,2,Benson Town,8272,3,,368945,4159,4,1,600
Super built-up  Area,2,Sarjapur,8273,2,,442389,7336,2,2,43.1
Built-up  Area,1,V.V Puram,8274,2,,446663,3409,2,0,150
Super built-up  Area,2,Electronic City,8275,1,DSgmax ,428530,4057,2,1,44.1
Super built-up  Area,1,Kanakpura Road,8276,3,PrarePa,439534,3759,,,29.25
Super built-up  Area,1,7th Phase JP Nagar,8277,5,Eladero,435199,8988,3,2,117
Super built-up  Area,1,Sri Sai Layout,8278,4,,450573,5496,2,2,35
Super built-up  Area,1,Gunjur,8279,1,MyhtsHe,429368,5090,2,1,51
Super built-up  Area,1,Sector 2 HSR Layout,8280,2,NDpalSe,388629,4886,3,,80
Built-up  Area,2,Frazer Town,8281,2,Asuilnc,417779,9581,2,1,341
Super built-up  Area,1,Thanisandra main road,8282,3,,425940,7195,3,1,455
Built-up  Area,1,Kalyan nagar,8283,5,Saacela,431980,6678,2,1,60
Super built-up  Area,1,Pattandur Agrahara,8284,1,MaidoPl,405837,7167,2,3,80
Super built-up  Area,2,Kanakpura Road,8285,3,GolusLi,459502,4181,2,2,63.22
Built-up  Area,1,Mallasandra,8286,4,GMilse ,368329,9887,2,2,73
Super built-up  Area,1,Whitefield,8287,3,SMuilan,393485,1745,2,1,35.36
Super built-up  Area,2,Banaswadi,8288,5,Srldsri,376025,612,3,2,74.5
Plot  Area,2,Devara Jeevanahalli,8289,3,,450222,2162,2,2,35
Super built-up  Area,1,Kanakpura Road,8290,1,PrarePa,459008,3519,,,41.145
Super built-up  Area,2,Hennur,8291,5,,370930,2836,2,1,44.55
Super built-up  Area,1,Talaghattapura,8292,1,Sodgere,435205,6818,3,3,147
Super built-up  Area,2,Yelachenahalli,8293,4,BaiseBa,428096,4223,2,1,72
Super built-up  Area,1,Hebbal Kempapura,8294,5,Goateds,377596,6636,3,3,132
Super built-up  Area,2,Hosur Road,8295,3,Kelmsoy,451836,4091,2,1,55
Super built-up  Area,1,Chikkalasandra,8296,4,,395759,4420,2,2,56.12
Super built-up  Area,2,Bellandur,8297,5,,453724,5656,2,1,46.79
Super built-up  Area,2,Kanakpura Road,8298,3,Soazak ,450648,9786,2,3,91.06
Super built-up  Area,1,Hennur Road,8299,2,Puachal,378462,688,2,1,87
Super built-up  Area,1,1st Phase JP Nagar,8300,4,,371318,3930,2,2,88.5
Super built-up  Area,2,Electronic City,8301,5,Palleon,451264,4746,3,2,66
Super built-up  Area,2,Nagawara Junction,8302,2,,444175,7483,4,,280
Super built-up  Area,1,Nagasandra,8303,4,,373188,5163,4,1,145
Super built-up  Area,1,Electronic City Phase II,8304,4,Prvanai,421129,7753,2,2,32
Super built-up  Area,1,Begur Road,8305,2,Dhalsh ,368663,4677,2,3,49.34
Built-up  Area,2,Vishwanatha Nagenahalli,8306,5,PrBayGa,367574,9459,3,2,120
Plot  Area,1,Anekal,8307,5,Vaensnd,455301,7048,,,16.5
Super built-up  Area,2,TC Palaya,8308,3,,403622,3059,2,0,66
Super built-up  Area,1,Hennur,8309,1,Shateor,442567,4095,2,1,57.5
Super built-up  Area,1,Whitefield,8310,3,ARipsul,417012,1138,2,1,42.79
Plot  Area,1,Suragajakkanahalli,8311,4,PrhyaK ,405160,6399,3,2,72
Super built-up  Area,2,Sarjapur,8312,4,SNityVe,440141,6842,2,2,35.41
Super built-up  Area,2,Tumkur Road,8313,1,Coowsri,364873,4914,1,0,31.315
Super built-up  Area,1,Bommanahalli,8314,4,PindsWo,395324,4633,2,,100
Plot  Area,1,Gattigere,8315,4,,409932,4567,6,1,95
Built-up  Area,2,SK Garden,8316,1,,363601,5115,3,0,175
Built-up  Area,1,Gowdanapalya,8317,5,,442260,8485,1,0,34
Super built-up  Area,2,Mahadevpura,8318,3,Neony H,390330,9125,3,2,95
Super built-up  Area,2,Begur Road,8319,2,,398085,8115,2,1,42
Super built-up  Area,2,PNS Layout,8320,2,,396854,6525,2,3,65
Built-up  Area,2,Venkatapura,8321,5,ThBayah,361793,912,2,1,260
Built-up  Area,1,Electronic City Phase II,8322,5,Rie 2 P,429149,5222,3,1,97
Plot  Area,1,Mathikere,8323,4,,363752,8629,2,0,175
Super built-up  Area,2,Haralur Road,8324,3,SNnia E,454127,7927,2,2,96
Plot  Area,1,Harsha Layout,8325,5,,383427,9374,6,3,100
Super built-up  Area,1,Yelenahalli,8326,3,,424907,5461,2,2,50
Super built-up  Area,1,Bharathi Nagar,8327,3,ReudePr,377738,6318,2,2,68
Super built-up  Area,2,Bommasandra Industrial Area,8328,4,,363990,1808,2,1,39.77
Super built-up  Area,2,Rajiv Nagar,8329,2,,367509,3664,2,1,80
Super built-up  Area,2,Dairy Circle,8330,2,Soeurri,378683,8353,4,2,370
Super built-up  Area,1,7th Phase JP Nagar,8331,4,Brnia G,385374,4363,2,1,77
Super built-up  Area,2,Kanakpura Road,8332,5,PrarePa,367135,7660,3,2,53
Plot  Area,1,Sanjay nagar,8333,1,,428425,1361,3,3,310
Super built-up  Area,2,Begur Road,8334,3,Dhalsh ,369570,1245,2,2,56.34
Built-up  Area,2,1st Stage Indira Nagar,8335,1,,452864,3980,2,1,56
Super built-up  Area,2,Yarandahalli,8336,5,,399447,9544,2,1,40.1
Plot  Area,1,BTM 2nd Stage,8337,2,,371795,6023,2,0,360
Super built-up  Area,1,Electronic City,8338,5,SJityVe,448567,5077,3,3,110
Super built-up  Area,1,Whitefield,8339,1,,374662,8670,2,2,52
Super built-up  Area,1,Rajiv Nagar,8340,1,PuoodSk,442726,5614,4,1,145
Super built-up  Area,2,Koramangala,8341,1,G ceses,401561,1799,2,1,179
Plot  Area,2,Kammanahalli,8342,3,,427308,6523,1,1,81
Super built-up  Area,1,Kacharakanahalli,8343,3,JPoldGo,421131,2545,3,3,69
Plot  Area,1,HBR Layout,8344,2,,403404,6609,5,0,320
Super built-up  Area,2,Electronic City Phase II,8345,3,Sryalan,381913,9461,2,1,27.43
Super built-up  Area,1,Whitefield,8346,1,PritaDo,456027,6205,2,1,90.33
Super built-up  Area,1,Bhoganhalli,8347,2,Pride S,375207,1906,4,3,185
Built-up  Area,2,Ashwath Nagar,8348,1,SJcerpe,459730,8625,3,,95
Super built-up  Area,2,Sahakara Nagar,8349,2,,417570,3569,2,2,75
Built-up  Area,2,Electronic City,8350,3,,397334,8533,2,1,38.12
Super built-up  Area,2,Ananth Nagar,8351,5,,373863,2563,2,1,29.7
Built-up  Area,2,Whitefield,8352,2,Chllea ,433509,1922,5,2,550
Built-up  Area,1,KR Puram,8353,1,,445485,7462,6,3,58
Plot  Area,2,Kengeri Satellite Town,8354,5,,432269,7866,2,1,160
Built-up  Area,1,Kalyan nagar,8355,4,JRaderc,439635,4689,2,2,44.5
Super built-up  Area,1,Kengeri,8356,5,VBn 2lm,411545,6699,1,1,18
Built-up  Area,1,Hennur Road,8357,3,Koagati,406396,5873,2,1,52.23
Super built-up  Area,2,OMBR Layout,8358,3,Inntsa ,448971,3830,3,1,93
Super built-up  Area,1,Balagere,8359,2,Soresea,384441,4555,2,1,63.86
Super built-up  Area,1,Marathahalli,8360,4,Prionad,452676,4486,5,2,175
Super built-up  Area,1,Subramanyapura,8361,4,DStik S,364538,4292,2,1,55
Super built-up  Area,1,Haralur Road,8362,5,SNnia E,386499,2928,3,2,83.05
Built-up  Area,2,Kanaka Nagar,8363,5,,398747,4910,4,2,90
Built-up  Area,2,Old Madras Road,8364,1,GRlas V,415875,6030,3,2,142
Built-up  Area,2,Jakkasandra Extension,8365,1,,449500,3725,2,1,63
Super built-up  Area,1,Poorna Pragna Layout,8366,5,,401168,9443,2,1,46.39
Super built-up  Area,2,Hormavu,8367,2,,410973,5004,2,2,58.23
Super built-up  Area,2,Frazer Town,8368,3,Asuilnc,447416,9752,5,,345
Super built-up  Area,1,Seegehalli,8369,4,,420144,4922,2,2,45
Plot  Area,1,Nagasandra,8370,5,,432725,7612,4,2,80
Plot  Area,1,Horamavu Agara,8371,5,,408135,8583,3,3,80
Plot  Area,2,Whitefield,8372,2,,391015,3109,4,1,143
Super built-up  Area,2,Nagashetty Halli,8373,5,,425862,8227,2,2,65
Super built-up  Area,1,Sarjapur,8374,2,,437531,9956,2,1,42
Super built-up  Area,1,Tigalarpalya,8375,5,Spess C,443342,5287,3,2,117
Super built-up  Area,1,Murugeshpalya,8376,1,,379106,6785,2,2,48
Super built-up  Area,2,Sarjapur  Road,8377,2,Contsci,420595,9703,2,2,67
Super built-up  Area,2,Badavala Nagar,8378,4,DNncasa,362594,7148,3,2,115
Super built-up  Area,1,Thomas Town,8379,4,TuiteIn,455697,1301,2,,60
Super built-up  Area,2,Kothannur,8380,5,,459127,5467,2,2,38.6
Built-up  Area,2,"Electronic city Phase 1, ",8381,3,,398611,2493,2,1,33
Super built-up  Area,1,Balagere,8382,1,Soresea,371233,6346,2,1,53.58
Built-up  Area,1,TC Palaya,8383,2,,406242,6720,2,0,70
Super built-up  Area,2,Kadugodi,8384,1,KMnorab,460458,2418,2,2,56
Super built-up  Area,1,Amruthahalli,8385,1,Prentra,408136,3834,2,1,85
Super built-up  Area,2, Banaswadi,8386,1,Krntsee,394485,4242,1,0,35
Super built-up  Area,2,Sarjapur  Road,8387,1,Adeatlm,435535,761,3,2,125
Super built-up  Area,2,Thigalarapalya,8388,2,Prtanha,421280,2024,6,2,235
Super built-up  Area,2,Horamavu Agara,8389,4,DSireSo,398707,9561,2,1,46
Built-up  Area,1,Kogilu,8390,1,,458580,2937,2,2,49
Super built-up  Area,2,Malleshwaram,8391,2,Maens G,368866,6836,4,,270
Super built-up  Area,1,Kengeri,8392,1,,420893,9083,1,1,14
Super built-up  Area,1,Mysore Road,8393,4,Brama P,402389,3581,2,2,64
Super built-up  Area,1,Hebbal Kempapura,8394,2,Goateds,369705,5812,2,2,108
Plot  Area,1,Chikka Tirupathi,8395,2,Theanmp,380604,5033,5,,100
Super built-up  Area,1,Sarjapur  Road,8396,5,Saitya ,440474,518,3,2,125
Super built-up  Area,2,Hosur Road,8397,3,PuendWe,414288,7515,3,2,103
Super built-up  Area,1,Bisuvanahalli,8398,1,Prityel,437465,3822,2,1,31
Super built-up  Area,2,Bannerghatta Road,8399,2,,394822,5095,4,,1400
Super built-up  Area,2,Hennur,8400,2,,402036,3425,2,1,48
Built-up  Area,1,Channasandra,8401,1,,383910,5604,2,1,40
Super built-up  Area,2,Kodichikkanahalli,8402,4,,452262,2014,2,2,38.5
Super built-up  Area,1,Uttarahalli,8403,5,AkncyRe,414037,4334,2,2,55
Super built-up  Area,1,Sector 1 HSR Layout,8404,1,SodilDa,418680,9897,3,2,150
Super built-up  Area,2,Naidu Layout,8405,5,,448034,743,3,2,81
Super built-up  Area,2,Whitefield,8406,5,Priew P,363036,2144,3,2,125
Super built-up  Area,2,Sugama Layout,8407,3,Pry 2 R,407625,7203,2,2,36
Super built-up  Area,2,Hormavu,8408,2,Undraro,382531,5452,2,3,68
Super built-up  Area,1,1st Block Koramangala,8409,4,,418609,5670,3,3,300
Plot  Area,2,Indira Nagar,8410,4,,438206,2361,4,2,405
Super built-up  Area,2,6th Phase JP Nagar,8411,1,JClyner,372710,4518,2,,80
Plot  Area,2,Hoskote,8412,4,Dhistee,439740,727,4,3,140
Super built-up  Area,2,BTM 2nd Stage,8413,3,Vincyat,419875,5894,2,2,56
Carpet  Area,2,Kothannur,8414,3,,375168,6465,4,2,95
Super built-up  Area,1,Bhoganhalli,8415,4,Amconi ,442592,7970,2,2,70
Super built-up  Area,2,Sarjapur  Road,8416,1,DSndsod,450367,558,3,2,116
Super built-up  Area,1,Kada Agrahara,8417,3,,454553,1733,2,2,35
Super built-up  Area,1,Hongasandra,8418,3,Srrtsu ,459801,2779,2,1,39
Built-up  Area,1,Electronic City,8419,1,,432475,7699,2,1,31.48
